百色,北海,北流,宾阳,博白,岑溪,崇左,德保,防城港北,富川,扶绥,恭城,贵港,桂林,桂林北,桂林西,桂平,合浦,贺州,金城江,靖西,来宾,来宾北,濑湍,黎塘,柳江,柳州,隆安东,陆川,罗城,鹿寨北,南丹,南宁,南宁东,南宁西,宁明,平果,平南南,凭祥,钦州东,全州南,渠旧,渠黎,融安,融水,容县,三江南,三江县,藤县,田东北,田林,田阳,亭亮,文地,梧州,梧州南,夏石,兴安北,兴业,阳朔,宜州,永福南,玉林,钟山西,
0,8,0,20,0,0,0,0,0,0,0,1,16,0,40,0,0,6,1,0,0,0,0,0,0,57,57,2,0,0,12,0,42,42,0,0,0,3,5,7,12,0,0,0,0,0,0,6,0,0,1,3,0,5,7,7,0,0,6,0,0,0,0,1,
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
7,6,0,0,1,1,0,0,2,1,0,1,15,19,19,0,8,5,4,1,0,21,0,0,0,24,24,2,2,0,10,0,45,45,45,0,4,8,7,5,6,0,0,2,2,1,3,3,6,3,0,4,0,2,18,18,0,5,5,2,1,4,0,2,
7,10,0,23,0,0,0,0,2,0,0,5,20,71,72,0,5,7,8,5,0,59,0,0,23,0,0,3,8,1,0,2,63,63,63,0,4,3,8,9,20,0,0,3,3,0,9,9,6,4,1,3,0,5,8,8,0,14,7,4,5,21,0,4,
7,10,0,23,0,0,0,0,2,0,0,5,21,72,72,0,5,0,8,5,0,59,0,0,23,0,0,3,9,0,0,2,63,63,63,0,4,3,8,9,20,0,0,3,3,0,9,9,6,0,1,3,0,5,8,8,0,14,7,4,5,21,14,4,
13,2,0,5,0,0,0,0,0,0,0,0,0,2,2,0,4,1,0,0,0,4,4,0,5,4,4,0,0,0,1,0,14,15,15,0,8,3,0,2,0,0,0,0,0,0,0,0,3,0,0,8,0,0,7,7,0,0,0,0,0,1,0,0,
1,0,1,3,0,1,0,0,0,1,0,0,9,3,3,3,0,0,1,3,0,6,0,0,3,8,8,0,0,0,0,1,2,2,2,0,1,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,6,1,1,0,1,5,0,3,0,0,0,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0,12,12,0,0,17,0,0,1,0,0,0,11,11,11,0,0,1,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,2,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,
34,25,0,46,1,1,0,3,6,0,3,2,49,56,56,0,24,0,6,1,0,42,42,1,46,64,64,13,1,1,15,0,0,45,0,3,25,29,9,25,18,1,0,2,2,1,7,7,26,13,2,15,1,1,0,59,0,13,5,2,1,15,0,2,
